filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./_distutils_hack/__init__.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,64,4,55,[64],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./_distutils_hack/__init__.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,65,4,57,[65],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pkg_resources/__init__.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,1561,12,44,[1561],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./pkg_resources/__init__.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,1572,12,51,[1572],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./pkg_resources/_vendor/importlib_resources/_common.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,194,4,24,[194],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pkg_resources/_vendor/jaraco/context.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,2,0,17,[2],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./pkg_resources/_vendor/jaraco/context.py,any_other_function_with_shell_equals_true,B604,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/78.html,"Function call with shell=True parameter identified, possible security issue.",39,17,69,[39],https://bandit.readthedocs.io/en/1.7.6/plugins/b604_any_other_function_with_shell_equals_true.html
./pkg_resources/_vendor/jaraco/context.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,112,8,49,[112],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./pkg_resources/_vendor/jaraco/functools.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,550,27,36,[550],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b307-eval
./pkg_resources/_vendor/more_itertools/more.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,3465,16,24,[3465],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./pkg_resources/_vendor/more_itertools/more.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,3469,31,39,[3469],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./pkg_resources/_vendor/more_itertools/more.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,3473,22,34,[3473],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./pkg_resources/_vendor/more_itertools/more.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,3475,25,33,[3475],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./pkg_resources/_vendor/more_itertools/more.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,3476,36,44,[3476],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./pkg_resources/_vendor/more_itertools/more.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,3486,23,31,[3486],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./pkg_resources/_vendor/more_itertools/more.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,3496,26,34,[3496],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./pkg_resources/_vendor/more_itertools/more.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,3504,18,33,[3504],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./pkg_resources/_vendor/more_itertools/more.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,3508,34,42,[3508],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./pkg_resources/_vendor/more_itertools/recipes.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,592,17,29,[592],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./pkg_resources/_vendor/more_itertools/recipes.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,642,21,33,[642],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./pkg_resources/_vendor/packaging/_manylinux.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,85,8,41,[85],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pkg_resources/_vendor/packaging/_musllinux.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,9,0,17,[9],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./pkg_resources/_vendor/packaging/_musllinux.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,50,11,80,[50],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./pkg_resources/_vendor/packaging/_musllinux.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,74,4,49,[74],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pkg_resources/_vendor/packaging/_tokenizer.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,120,8,73,"[120, 121, 122]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pkg_resources/_vendor/packaging/_tokenizer.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,123,8,66,[123],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pkg_resources/_vendor/packaging/_tokenizer.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,146,8,32,[146],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pkg_resources/_vendor/packaging/markers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,73,4,49,[73],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./pkg_resources/_vendor/packaging/markers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,141,8,53,[141],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
