filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./ardana_configurationprocessor/cp/lib/DataTransformer.py,hardcoded_password_default,B107,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '-',30,4,21,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",https://bandit.readthedocs.io/en/1.7.6/plugins/b107_hardcoded_password_default.html
./ardana_configurationprocessor/cp/model/CPSecurity.py,yaml_load,B506,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,120,27,52,[120],https://bandit.readthedocs.io/en/1.7.6/plugins/b506_yaml_load.html
./ardana_configurationprocessor/cp/model/YamlConfigFile.py,yaml_load,B506,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,95,29,54,[95],https://bandit.readthedocs.io/en/1.7.6/plugins/b506_yaml_load.html
./ardana_configurationprocessor/cp/processor/PersistentStateCredsChangeProcessor.py,yaml_load,B506,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,78,28,82,[78],https://bandit.readthedocs.io/en/1.7.6/plugins/b506_yaml_load.html
./ardana_configurationprocessor/cp/processor/PersistentStateCredsChangeProcessor.py,yaml_load,B506,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,120,32,101,[120],https://bandit.readthedocs.io/en/1.7.6/plugins/b506_yaml_load.html
./ardana_configurationprocessor/plugins/builders/Ansible/AnsEncryptArtifactsBuilder.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",65,8,16,"[65, 66, 67]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./ardana_configurationprocessor/plugins/builders/Diagram/Box.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",80,8,16,"[80, 81]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./ardana_configurationprocessor/plugins/builders/Diagram/Box.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",93,8,16,"[93, 94]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./ardana_configurationprocessor/plugins/builders/Diagram/Box.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",129,8,16,"[129, 130]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./ardana_configurationprocessor/plugins/builders/Diagram/Box.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",164,8,16,"[164, 165]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./ardana_configurationprocessor/plugins/validators/2_0/NetworkGroupsValidator.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",67,30,64,[67],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./ardana_configurationprocessor/plugins/variables/2_0/RandomPasswordVariable.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,66,17,41,[66],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./ardana_configurationprocessor/plugins/variables/2_0/RandomPasswordVariable.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,70,12,53,[70],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./ardana_configurationprocessor/plugins/variables/2_0/RandomSshKeyVariable.py,blacklist,B413,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,The pyCrypto library and its module RSA are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,20,0,37,[20],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b413-import-pycrypto
./ardana_configurationprocessor/plugins/variables/2_0/RandomStringVariable.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,50,17,41,[50],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./ardana_configurationprocessor/plugins/variables/2_0/RandomStringVariable.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,53,16,51,[53],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./ardana_configurationprocessor/plugins/variables/2_0/RandomStringVariable.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,55,12,53,[55],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
