filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./requests/auth.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",85,23,37,[85],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./requests/auth.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",91,23,38,[91],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./requests/auth.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",121,22,37,[121],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./requests/packages/urllib3/packages/six.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,327,8,44,[327],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./setup.py,start_process_with_a_shell,B605,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",14,4,45,[14],https://bandit.readthedocs.io/en/1.7.6/plugins/b605_start_process_with_a_shell.html
./setup.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,14,4,45,[14],https://bandit.readthedocs.io/en/1.7.6/plugins/b607_start_process_with_partial_path.html
./test_requests.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,10,0,13,[10],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./test_requests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,66,8,32,[66],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test_requests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,67,8,35,[67],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,99,12,50,[99],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,109,12,62,[109],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,117,12,92,[117],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,143,8,37,[143],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test_requests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,149,8,50,[149],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test_requests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,151,8,40,[151],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test_requests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,160,8,50,[160],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test_requests.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,162,8,30,[162],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,170,12,62,[170],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,177,12,62,[177],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,181,12,41,[181],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,185,12,40,[185],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,192,12,40,[192],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,195,12,29,[195],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,208,12,40,[208],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,211,12,29,[211],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,224,12,53,[224],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,227,12,54,[227],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,236,12,40,[236],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,239,12,29,[239],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,250,16,34,[250],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,252,16,57,[252],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,256,20,57,[256],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,259,16,61,[259],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,263,12,55,[263],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,270,16,34,[270],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,272,16,57,[272],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,276,20,80,[276],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,279,16,61,[279],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,283,12,55,[283],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,288,12,50,[288],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,292,12,50,[292],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,295,12,50,[295],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,299,12,41,[299],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,304,8,50,[304],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,305,8,52,[305],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,306,8,52,[306],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,307,8,48,[307],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,308,8,58,[308],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,311,8,108,[311],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./test_requests.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,315,12,74,[315],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
