filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./eureka/domain/mail_notification.py,blacklist,B410,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,39,0,22,[39],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b410-import-lxml
./eureka/domain/mail_notification.py,blacklist,B320,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using lxml.etree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree.fromstring with its defusedxml equivalent function.,101,11,36,[101],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b313-b320-xml-bad-etree
./eureka/domain/services/search.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,125,8,71,[125],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./eureka/domain/services/search.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,195,8,71,[195],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./eureka/domain/services/search.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,273,8,71,[273],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./eureka/domain/workflow/voucher.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,127,4,35,[127],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./eureka/infrastructure/crypto.py,blacklist,B413,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,The pyCrypto library and its module Blowfish are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,39,0,34,[39],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b413-import-pycrypto
./eureka/infrastructure/crypto.py,blacklist,B304,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,Use of insecure cipher Crypto.Cipher.Blowfish.new. Replace with a known secure cipher such as AES.,44,23,59,[44],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b304-b305-ciphers-and-modes
./eureka/infrastructure/filesystem.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,46,32,38,[46],https://bandit.readthedocs.io/en/1.7.6/plugins/b108_hardcoded_tmp_directory.html
./eureka/infrastructure/password_policy.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,73,20,68,[73],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./eureka/infrastructure/password_policy.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,75,26,45,[75],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./eureka/infrastructure/security.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'jGgyZ25cEOJwxvmJt3IhgH0wmUFt2Swt',70,29,63,[70],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./eureka/infrastructure/tools.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,92,24,58,[92],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./eureka/infrastructure/tools.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",208,8,21,[208],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./eureka/tests/__init__.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,60,13,48,[60],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./eureka/tests/domain/test_user.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,37,0,13,[37],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./eureka/tests/domain/test_user.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'password',125,15,9,"[125, 126, 127, 128, 129, 130]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./eureka/tests/domain/test_user.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'password',135,15,9,"[135, 136, 137, 138, 139, 140]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./eureka/tests/domain/test_user.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'password',145,15,9,"[145, 146, 147, 148, 149, 150]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./eureka/tests/domain/test_user.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'newpass',151,23,33,[151],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./eureka/tests/domain/test_user.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'password',157,15,9,"[157, 158, 159, 160, 161, 162]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./eureka/tests/domain/test_user.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'a',163,23,27,[163],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./eureka/tests/domain/test_user.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'password',168,15,9,"[168, 169, 170, 171, 172, 173]",https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./eureka/ui/desktop/idea/comp.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,179,8,19,[179],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./eureka/ui/desktop/idea/comp.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,184,8,19,[184],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./eureka/ui/desktop/idea/comp.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,191,8,19,[191],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./eureka/ui/desktop/idea/comp.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,201,8,19,[201],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./eureka/ui/desktop/idea/pager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,321,8,34,[321],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./eureka/ui/desktop/portal/comp.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,288,12,23,[288],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./eureka/ui/desktop/resetpassword/comp.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'eOMI5oa6ByATXNIADwloIRgI6EOqqnvb',90,17,51,[90],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./eureka/ui/desktop/resetpassword/comp.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",92,15,42,[92],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./eureka/ui/desktop/staticcontent/comp.py,blacklist,B410,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,39,0,22,[39],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b410-import-lxml
./eureka/ui/desktop/suggestion/comp.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,61,8,27,[61],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./eureka/ui/desktop/workflow/comp.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,263,8,27,[263],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./eureka/ui/desktop/workflow/evaluation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,156,8,27,[156],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./eureka/ui/templates/default/desktop/article.py,blacklist,B410,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,39,0,28,[39],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b410-import-lxml
./eureka/ui/templates/default/desktop/article.py,blacklist,B410,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using clean_html to parse untrusted XML data is known to be vulnerable to XML attacks. Replace clean_html with the equivalent defusedxml package.,40,0,38,[40],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b410-import-lxml
