filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./appier/base.py,jinja2_autoescape_false,B701,HIGH,HIGH,https://cwe.mitre.org/data/definitions/94.html,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",1236,21,9,"[1236, 1237, 1238, 1239, 1240, 1241, 1242]",https://bandit.readthedocs.io/en/1.7.6/plugins/b701_jinja2_autoescape_false.html
./appier/base.py,jinja2_autoescape_false,B701,HIGH,HIGH,https://cwe.mitre.org/data/definitions/94.html,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",1246,41,9,"[1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253]",https://bandit.readthedocs.io/en/1.7.6/plugins/b701_jinja2_autoescape_false.html
./appier/base.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",1746,12,34,[1746],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./appier/base.py,try_except_continue,B112,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Continue detected.",4663,12,38,[4663],https://bandit.readthedocs.io/en/1.7.6/plugins/b112_try_except_continue.html
./appier/base.py,try_except_continue,B112,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Continue detected.",4666,12,38,[4666],https://bandit.readthedocs.io/en/1.7.6/plugins/b112_try_except_continue.html
./appier/base.py,try_except_continue,B112,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Continue detected.",4672,12,38,[4672],https://bandit.readthedocs.io/en/1.7.6/plugins/b112_try_except_continue.html
./appier/base.py,start_process_with_no_shell,B606,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/78.html,Starting a process without a shell.,5228,8,59,[5228],https://bandit.readthedocs.io/en/1.7.6/plugins/b606_start_process_with_no_shell.html
./appier/base.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",5274,16,38,[5274],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./appier/base.py,try_except_continue,B112,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Continue detected.",5281,12,38,[5281],https://bandit.readthedocs.io/en/1.7.6/plugins/b112_try_except_continue.html
./appier/base.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",5501,8,30,[5501],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
