filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./frontera/contrib/backends/hbase.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,175,8,45,[175],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/contrib/backends/hbase.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,380,15,28,[380],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./frontera/contrib/backends/memory/__init__.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,212,15,40,[212],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./frontera/contrib/backends/sqlalchemy/test_backend.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '',147,18,20,[147],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./frontera/contrib/backends/sqlalchemy/test_backend.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '',183,18,20,[183],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./frontera/contrib/messagebus/kafka/__init__.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,37,12,44,[37],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/contrib/messagebus/kafka/__init__.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,38,12,46,[38],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/contrib/scrapy/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,10,8,102,[10],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,19,8,107,"[19, 20]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,51,8,92,[51],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,59,12,72,"[59, 60]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,73,16,117,[73],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,102,8,43,"[102, 103, 104, 105, 106, 107, 108]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,120,8,88,"[120, 121]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,129,8,92,"[129, 130]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,134,8,95,"[134, 135]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,379,8,61,[379],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,408,8,45,[408],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,410,12,109,"[410, 411]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
