filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./frontera/contrib/backends/hbase.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,172,8,45,[172],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/contrib/backends/hbase.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,380,15,28,[380],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./frontera/contrib/backends/memory/__init__.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,211,15,40,[211],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./frontera/contrib/messagebus/kafka/__init__.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,37,12,44,[37],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/contrib/messagebus/kafka/__init__.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,38,12,46,[38],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/contrib/scrapy/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,10,8,102,[10],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,19,8,107,"[19, 20]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,51,8,92,[51],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,59,12,72,"[59, 60]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,73,16,117,[73],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,102,8,43,"[102, 103, 104, 105, 106, 107, 108]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,127,8,92,"[127, 128]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,132,8,95,"[132, 133]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,348,8,61,[348],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,375,8,45,[375],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,377,12,109,"[377, 378]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,445,8,113,"[445, 446]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,447,8,90,[447],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,448,8,98,"[448, 449, 450, 451]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,452,8,113,"[452, 453]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,456,16,113,"[456, 457]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,481,8,53,[481],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/core/manager.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,482,8,61,[482],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/utils/async.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,52,4,67,[52],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/utils/fingerprint.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",9,11,43,[9],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./frontera/utils/fingerprint.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",13,11,42,[13],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./frontera/utils/fingerprint.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",35,17,46,[35],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./frontera/utils/managers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,16,8,115,"[16, 17]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/utils/managers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,18,8,118,"[18, 19]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/utils/tester.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,75,12,78,[75],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/utils/tester.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,76,12,76,[76],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/utils/tester.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,77,12,49,[77],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./frontera/utils/tester.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,78,12,61,[78],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
