./jscatter/__init__.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,27,54,68,[27],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./jscatter/__init__.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",109,4,12,"[109, 110]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",487,8,20,[487],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2250,12,20,"[2250, 2251]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2254,12,20,"[2254, 2255]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2258,12,20,"[2258, 2259]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2262,12,20,"[2262, 2263]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2534,8,19,[2534],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2738,8,19,[2738],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2856,12,23,[2856],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2981,8,16,"[2981, 2982]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3029,8,19,[3029],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3236,16,24,"[3236, 3237]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3290,20,28,"[3290, 3291]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3295,16,24,"[3295, 3296]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3308,12,23,[3308],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3880,16,24,"[3880, 3881]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3945,8,19,[3945],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,86,0,17,[86],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./jscatter/dls.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,94,8,48,"[94, 95, 96, 97, 98]",https://bandit.readthedocs.io/en/1.7.6/plugins/b607_start_process_with_partial_path.html
./jscatter/dls.py,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,"subprocess call with shell=True seems safe, but may be changed in the future, consider rewriting without shell",94,8,48,"[94, 95, 96, 97, 98]",https://bandit.readthedocs.io/en/1.7.6/plugins/b602_subprocess_popen_with_shell_equals_true.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",593,16,24,"[593, 594]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",605,12,20,"[605, 606]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",610,12,20,"[610, 611]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",615,12,20,"[615, 616]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",620,12,20,"[620, 621]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"subprocess call with shell=True identified, security issue.",670,12,63,"[670, 671, 672, 673, 674]",https://bandit.readthedocs.io/en/1.7.6/plugins/b602_subprocess_popen_with_shell_equals_true.html
