filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./install/createKernel.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,22,0,17,[22],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./install/createKernel.py,blacklist,B410,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,32,0,22,[32],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b410-import-lxml
./install/createKernel.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,327,24,62,[327],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./install/createKernel.py,blacklist,B320,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using lxml.etree.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree.parse with its defusedxml equivalent function.,329,35,53,[329],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b313-b320-xml-bad-etree
./install/createKernel.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,337,31,61,[337],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./install/createKernel.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,348,19,113,[348],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./install/createKernel.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,379,22,95,[379],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./install/createKernel.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,419,24,94,[419],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./install/createKernel.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,453,19,49,[453],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./install/generate.py,jinja2_autoescape_false,B701,HIGH,HIGH,https://cwe.mitre.org/data/definitions/94.html,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",25,10,67,[25],https://bandit.readthedocs.io/en/1.7.6/plugins/b701_jinja2_autoescape_false.html
./pixiedust/apps/cfBrowser.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'cf.access_token',22,19,36,[22],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./pixiedust/apps/cfBrowser.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,38,12,10,"[38, 39, 40, 41, 42]",https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./pixiedust/apps/cfBrowser.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,145,12,10,"[145, 146, 147, 148]",https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./pixiedust/apps/cfBrowser.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,154,12,10,"[154, 155, 156, 157]",https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./pixiedust/apps/cfBrowser.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,164,12,10,"[164, 165, 166, 167]",https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./pixiedust/apps/cfBrowser.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,174,12,10,"[174, 175, 176, 177]",https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./pixiedust/apps/cfBrowser.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,184,12,10,"[184, 185, 186, 187]",https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./pixiedust/apps/cfBrowser.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,194,12,10,"[194, 195, 196, 197]",https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./pixiedust/apps/cfBrowser.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,205,12,10,"[205, 206, 207, 208]",https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./pixiedust/apps/cfBrowser.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,217,12,10,"[217, 218, 219, 220]",https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./pixiedust/apps/cfBrowser.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,226,12,10,"[226, 227, 228, 229]",https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./pixiedust/apps/cloudantBrowser.py,blacklist,B406,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,"Using escape to parse untrusted XML data is known to be vulnerable to XML attacks. Replace escape with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",7,0,35,[7],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b406-import-xml-sax
