./lib/pivportal/cli.py,yaml_load,B506,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,50,33,45,[50],https://bandit.readthedocs.io/en/1.7.6/plugins/b506_yaml_load.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,21,8,67,[21],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,24,8,70,[24],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,27,8,69,[27],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,31,8,76,[31],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,34,8,80,[34],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,37,8,82,[37],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,40,8,82,[40],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,43,8,66,[43],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,46,8,68,[46],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,53,8,100,[53],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,60,8,99,[60],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,67,8,99,[67],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,72,8,40,[72],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,79,8,40,[79],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,84,8,40,[84],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,91,8,40,[91],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,99,8,84,[99],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,105,8,40,[105],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,111,8,40,[111],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,117,8,40,[117],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,122,8,40,[122],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,127,8,40,[127],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,133,8,40,[133],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,150,8,47,[150],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,158,8,40,[158],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,164,8,40,[164],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,172,8,40,[172],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,177,8,40,[177],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,182,8,40,[182],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
