./purity_fb/configuration.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '',62,24,26,[62],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./purity_fb/rest.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,130,8,85,[130],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,24,4,30,[24],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,26,8,47,[26],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,90,12,63,[90],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,92,12,43,[92],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,93,12,53,[93],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,98,12,63,[98],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,100,12,43,[100],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,101,12,53,[101],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,102,12,53,[102],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,116,16,67,[116],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,118,16,47,[118],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,119,16,57,[119],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,120,16,50,[120],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,122,16,39,[122],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,135,12,63,[135],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_file_system_snapshots_api.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,138,16,50,[138],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
