filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./Cython/Build/BuildExecutable.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,23,12,36,[23],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Build/BuildExecutable.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,103,4,21,[103],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./Cython/Build/BuildExecutable.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"subprocess call with shell=True identified, security issue.",104,17,50,[104],https://bandit.readthedocs.io/en/1.7.6/plugins/b602_subprocess_popen_with_shell_equals_true.html
./Cython/Build/Cythonize.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,223,8,55,[223],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Build/Dependencies.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,11,0,17,[11],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./Cython/Build/Dependencies.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",124,8,28,[124],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./Cython/Build/Dependencies.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",663,16,57,[663],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./Cython/Build/Dependencies.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,1359,12,96,[1359],https://bandit.readthedocs.io/en/1.7.6/plugins/b607_start_process_with_partial_path.html
./Cython/Build/Dependencies.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,1359,12,96,[1359],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./Cython/Build/Inline.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",164,11,54,[164],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./Cython/Build/IpythonMagic.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",316,45,83,[316],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./Cython/Build/IpythonMagic.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,333,12,39,[333],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Build/IpythonMagic.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,453,16,52,[453],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/CodeWriter.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,219,8,35,[219],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/CodeWriter.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,305,12,31,[305],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/AnalysedTreeTransforms.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,28,8,50,[28],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/AnalysedTreeTransforms.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,97,12,24,[97],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Annotate.py,blacklist,B406,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,"Using escape to parse untrusted XML data is known to be vulnerable to XML attacks. Replace escape with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",13,0,50,[13],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b406-import-xml-sax
./Cython/Compiler/Buffer.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,33,8,43,[33],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Buffer.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,249,16,28,[249],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Buffer.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,279,8,20,[279],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Buffer.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,654,8,20,[654],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Buffer.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,677,12,34,[677],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Buffer.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,695,12,24,[695],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Buffer.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,718,12,31,[718],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Code.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,360,8,24,[360],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Code.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,548,8,66,[548],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Code.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,560,12,104,[560],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Code.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,570,8,49,[570],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Code.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,587,8,37,[587],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Code.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,659,8,44,[659],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Code.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1383,8,30,[1383],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Code.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1687,12,53,[1687],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Code.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1688,12,43,[1688],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Code.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1841,8,39,[1841],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Code.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1887,8,53,[1887],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Code.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,2025,8,56,[2025],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Cython/Compiler/Code.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",2041,22,55,[2041],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./Cython/Compiler/Dataclass.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,137,12,81,[137],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
