filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./aiohttp/client.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",313,16,46,[313],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./aiohttp/client.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",547,4,12,"[547, 548]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./aiohttp/client_reqrep.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,285,12,61,"[285, 286]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/client_reqrep.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,450,12,48,[450],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/connector.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,592,20,31,[592],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/connector.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,629,8,47,"[629, 630]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/connector.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,631,8,71,"[631, 632]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/multidict.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,312,8,64,[312],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/multidict.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,313,8,29,[313],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/multipart.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,279,12,69,"[279, 280]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/multipart.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,292,8,54,"[292, 293]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/multipart.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,307,8,74,"[307, 308]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/multipart.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,315,8,57,[315],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/multipart.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,588,8,72,[588],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/multipart.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,926,8,51,[926],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/parsers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,109,8,35,"[109, 110]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/parsers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,185,8,62,[185],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./aiohttp/parsers.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,392,8,50,"[392, 393]",https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
