filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./Products/Silva/AutoTOC/rendering.py,blacklist,B406,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,"Using escape to parse untrusted XML data is known to be vulnerable to XML attacks. Replace escape with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",5,0,35,[5],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b406-import-xml-sax
./Products/Silva/AutoTOC/rendering.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,57,8,56,[57],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/ContainerPolicy.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,71,8,53,[71],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/ExtensionRegistry.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,145,8,43,[145],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/ExtensionRegistry.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,201,8,71,[201],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/ExtensionRegistry.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,214,8,35,[214],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/File/converters.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,7,0,17,[7],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./Products/Silva/File/converters.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"subprocess call with shell=True identified, security issue.",18,15,72,"[17, 18]",https://bandit.readthedocs.io/en/1.7.6/plugins/b602_subprocess_popen_with_shell_equals_true.html
./Products/Silva/File/converters.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,26,18,35,"[26, 27, 28, 29]",https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./Products/Silva/File/converters.py,blacklist,B306,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/377.html,Use of insecure and deprecated function (mktemp).,90,19,52,[90],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b306-mktemp-q
./Products/Silva/File/converters.py,blacklist,B306,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/377.html,Use of insecure and deprecated function (mktemp).,119,19,52,[119],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b306-mktemp-q
./Products/Silva/File/service.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'ZODBFile',36,13,76,[36],https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./Products/Silva/File/service.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'BlobFile',37,13,76,[37],https://bandit.readthedocs.io/en/1.7.6/plugins/b106_hardcoded_password_funcarg.html
./Products/Silva/Folder/content.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",118,12,20,"[118, 119]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./Products/Silva/Folder/content.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,285,8,72,[285],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/Folder/content.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,295,8,75,[295],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/Folder/management.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",291,12,20,"[291, 292]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./Products/Silva/Ghost/base.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,57,8,45,[57],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/Ghost/base.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,64,8,45,[64],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/Ghost/base.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,87,12,76,[87],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/Ghost/content.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,103,8,41,[103],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/Ghost/content.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,120,8,45,[120],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/GhostAsset/content.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,127,8,41,[127],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/GhostAsset/content.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,139,8,45,[139],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/GhostFolder/content.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,43,8,41,[43],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/GhostFolder/content.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,49,8,45,[49],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/GhostFolder/content.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,144,8,45,[144],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/GhostFolder/content.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,145,8,43,[145],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./Products/Silva/GhostFolder/content.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,227,8,41,[227],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
