filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./src/taba/agent/agent.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Requests call without timeout,272,17,57,[272],https://bandit.readthedocs.io/en/1.7.6/plugins/b113_request_without_timeout.html
./src/taba/agent/agent.py,blacklist,B303,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",447,15,37,[447],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b303-md5
./src/taba/server/backend.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'GcTm',38,21,27,[38],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./src/taba/server/backend.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,147,52,67,[147],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./src/taba/server/model/queue_registry.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with cPickle module.,18,0,24,[18],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./src/taba/server/model/queue_registry.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,204,9,24,[204],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./src/taba/server/model/queue_registry.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,482,11,26,[482],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./src/taba/server/model/queue_registry.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,504,55,70,[504],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./src/taba/server/model/state_manager.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with cPickle module.,18,0,24,[18],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./src/taba/server/storage/redis_engine.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,1036,43,58,[1036],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./src/taba/server/storage/redis_engine.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,1080,41,56,[1080],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./src/taba/third_party/bottle.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,55,0,76,"[55, 56]",https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
