filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./PIL/EpsImagePlugin.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,27,0,17,[27],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./PIL/EpsImagePlugin.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,61,16,85,[61],https://bandit.readthedocs.io/en/1.7.6/plugins/b607_start_process_with_partial_path.html
./PIL/EpsImagePlugin.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,61,16,85,[61],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./PIL/EpsImagePlugin.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,145,8,63,[145],https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./PIL/EpsImagePlugin.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",265,24,32,"[265, 266]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./PIL/FtexImagePlugin.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,85,8,32,[85],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./PIL/GifImagePlugin.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,31,0,17,[31],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./PIL/GifImagePlugin.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,794,16,17,"[794, 795, 796]",https://bandit.readthedocs.io/en/1.7.6/plugins/b607_start_process_with_partial_path.html
./PIL/GifImagePlugin.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,794,16,17,"[794, 795, 796]",https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./PIL/GifImagePlugin.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,802,29,17,"[802, 803, 804]",https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./PIL/GifImagePlugin.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,805,29,17,"[805, 806, 807, 808, 809, 810]",https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./PIL/IcnsImagePlugin.py,start_process_with_no_shell,B606,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/78.html,Starting a process without a shell.,400,12,35,[400],https://bandit.readthedocs.io/en/1.7.6/plugins/b606_start_process_with_no_shell.html
./PIL/IcnsImagePlugin.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,400,12,35,[400],https://bandit.readthedocs.io/en/1.7.6/plugins/b607_start_process_with_partial_path.html
./PIL/Image.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,316,8,29,[316],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./PIL/Image.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,322,8,29,[322],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./PIL/Image.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,328,8,30,[328],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./PIL/Image.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,334,8,29,[334],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./PIL/Image.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,340,8,29,[340],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./PIL/Image.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3676,8,16,"[3676, 3677]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./PIL/ImageFile.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,368,8,32,[368],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./PIL/ImageFile.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,399,8,56,[399],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./PIL/ImageFont.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",93,16,24,"[93, 94]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
