./bs4/__init__.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",208,12,20,"[208, 209, 210, 211, 212]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./bs4/builder/_htmlparser.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,214,8,59,[214],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./bs4/builder/_lxml.py,blacklist,B410,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,11,0,22,[11],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b410-import-lxml
./bs4/diagnose.py,blacklist,B410,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,42,12,34,[42],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b410-import-lxml
./bs4/diagnose.py,blacklist,B410,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,90,4,26,[90],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b410-import-lxml
./bs4/diagnose.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,147,13,29,[147],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./bs4/diagnose.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,152,26,45,[152],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./bs4/diagnose.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,159,17,36,[159],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./bs4/diagnose.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,162,23,47,[162],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./bs4/diagnose.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,165,38,57,[165],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./bs4/diagnose.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,168,23,47,[168],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./bs4/diagnose.py,blacklist,B410,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,191,4,26,[191],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b410-import-lxml
./bs4/element.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '*',1439,26,29,[1439],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./bs4/element.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '>',1442,26,29,[1442],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./bs4/element.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '~',1446,26,29,[1446],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./bs4/element.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '+',1450,26,29,[1450],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./bs4/testing.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,7,0,13,[7],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./bs4/testing.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",77,17,37,[77],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./bs4/testing.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,508,8,68,[508],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./bs4/testing.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",577,17,37,[577],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./bs4/tests/test_html5lib.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,95,8,44,[95],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./bs4/tests/test_html5lib.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,96,8,44,[96],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./bs4/tests/test_html5lib.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,118,8,66,[118],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./bs4/tests/test_html5lib.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,125,8,27,[125],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./bs4/tests/test_htmlparser.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,5,0,13,[5],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./bs4/tests/test_htmlparser.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",29,17,37,[29],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./bs4/tests/test_lxml.py,blacklist,B410,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using lxml.etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree with the equivalent defusedxml package.,7,4,21,[7],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b410-import-lxml
./bs4/tests/test_soup.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,367,8,59,[367],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./bs4/tests/test_tree.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,14,0,13,[14],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./bs4/tests/test_tree.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",1333,17,37,[1333],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
./bs4/tests/test_tree.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",1354,17,37,[1354],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b301-pickle
